Time,S_a0_mean,S_a0_sd,E_a0_mean,E_a0_sd,I_a0_mean,I_a0_sd,R_a0_mean,R_a0_sd,S_a1_mean,S_a1_sd,E_a1_mean,E_a1_sd,I_a1_mean,I_a1_sd,R_a1_mean,R_a1_sd,S_a2_mean,S_a2_sd,E_a2_mean,E_a2_sd,I_a2_mean,I_a2_sd,R_a2_mean,R_a2_sd
11,9.442,7.741354181573439,92.535,8.910789930032982,70.197,9.57548332361771,27.582,6.731165172879402,18.932,14.887343920559134,184.037,14.92663510090052,138.964,16.22300495869646,58.388,12.199930093828172,18.736,14.924712762765354,183.693,14.642580242435285,91.499,10.23008571096321,40.363,9.013349625498362
12,3.61,3.7847356874984315,81.241,10.06201585981473,78.339,8.377604864354923,36.485,7.556644617677735,7.145,6.916633199383557,161.973,18.256822904946592,153.8,13.340088378941045,75.939,13.670558260845208,7.125,6.982128982275043,161.078,17.955453609260733,95.813,9.02737639209336,51.656,9.600407899242189
13,1.403,1.7583181403496588,68.961,10.176789574617628,82.948,7.2195164254552,46.286,8.284010431477547,2.822,2.8720314351630214,137.319,18.332739247813688,162.26,11.052989123697198,94.87,14.78403421491129,2.543,2.8545226044470726,136.504,18.419752204393827,94.322,8.674304557689888,63.107,9.778812615863757
14,0.706,0.9457581395147803,57.51,9.585916220674463,84.897,7.003959340719108,56.392,8.655590982437609,1.502,1.498746890653069,114.536,16.51567350947189,165.258,10.057961950544385,114.4,15.532007057790157,1.166,1.3244614747882244,113.734,16.72228689141766,89.375,9.151071910826465,73.911,9.980214611103495
15,0.554,0.7922825958657124,47.974,8.654607225416196,84.584,6.922345185185644,66.305,8.865132010611324,1.156,1.0838998287843942,94.964,14.422645967946266,164.23,10.028742477283764,133.686,15.471158998625823,0.814,0.994179255663883,94.234,14.67203164229523,82.203,9.778415434435603,83.832,9.97453092968623
16,0.562,0.7659913463889411,40.06,7.698419686251566,82.479,6.993602038253926,76.239,8.933514800272437,1.206,1.099442027927245,79.092,12.523832575628852,159.669,10.367493618224414,152.462,15.173357795385527,0.736,0.8420291046116001,78.007,12.407291883883923,73.974,9.632658621175782,92.667,9.761218796461455
17,0.711,0.8283508708060644,33.445,6.843961923828537,79.561,7.0552147419518745,85.545,8.948186690332575,1.385,1.180749409980445,66.033,10.671541256669197,153.118,10.328540785355633,170.315,14.732305176577622,0.784,0.9045231683943548,64.739,11.07056622022724,65.542,9.291639821397006,100.345,9.624167475662485
18,0.792,0.8529146870956459,28.066,6.017129701930136,75.948,6.994871280032552,94.37,8.70211622692014,1.548,1.2733095920935007,55.525,9.286205285724014,145.291,10.582831157838402,187.008,14.339091517440899,0.973,0.981444972596138,53.695,9.555379651289648,57.21,8.619524128175302,107.068,9.533743664912974
19,0.904,0.971456498113903,23.73,5.253827433662311,71.78,7.070614796012691,102.689,8.561868054611947,1.766,1.339043329036457,46.941,8.136320957209021,136.348,10.549321503498895,202.941,13.653642039431858,1.057,1.0299571893102217,44.751,8.415213295859756,50.048,8.022222388593578,112.579,9.457229943180941
20,1.097,1.0764523908421355,20.256,4.827397618569219,67.506,7.080826371413305,110.169,8.405539369492722,2.15,1.4784064683589848,40.011,7.429406105138894,127.37,10.275635682948705,217.148,13.205471611437453,1.131,1.0793535120635889,37.768,7.446181680675111,42.971,7.442146501147673,117.227,9.511884510807885
