Time,S_a0_mean,S_a0_sd,E_a0_mean,E_a0_sd,I_a0_mean,I_a0_sd,R_a0_mean,R_a0_sd,S_a1_mean,S_a1_sd,E_a1_mean,E_a1_sd,I_a1_mean,I_a1_sd,R_a1_mean,R_a1_sd,S_a2_mean,S_a2_sd,E_a2_mean,E_a2_sd,I_a2_mean,I_a2_sd,R_a2_mean,R_a2_sd
0,200,0,0,0,0,0,0,0,400,0,0,0,5,0,0,0,400,0,0,0,0,0,0,0
1,192.218,2.6645028758805225,7.081,2.465058927392105,0.671,0.8692033792585683,0.03,0.17067257872642908,384.349,4.079686610861531,14.253,3.698468557345009,5.679,1.4049672355371612,0.655,0.7297311200075735,384.63,4.173310019219339,13.963,3.7578920624138146,1.283,1.15075420278843,0.051,0.22010780869257557
2,180.423,5.433377641264464,16.531,4.795835593412168,2.819,1.769567848478936,0.222,0.4570830612973149,361.113,9.734525771294253,32.943,8.296781760874971,9.219,2.826132697879918,1.587,1.1618006631005084,361.36,9.726510422808635,32.766,8.177782102753785,4.841,2.512375575233733,0.386,0.6351436116402396
3,159.383,11.147940957306313,32.84,9.399720993452664,7.004,2.990807404185186,0.767,0.8458288399117321,319.385,21.280828194613306,65.031,17.479289589813558,17.072,5.158044340776979,3.235,1.6372096553146318,319.364,21.008876145022057,65.256,17.193489467821244,11.795,4.445304909197539,1.431,1.200283166456849
4,123.103,18.796108232415687,60.01,15.003499758556503,14.797,5.09251654142868,2.071,1.4710958918857475,246.115,37.408624409087544,120.015,29.114814913501466,32.134,9.111150150066514,6.228,2.4755088656969386,246.546,37.20518929007229,119.719,29.001571166578717,24.418,7.945086557137084,3.628,2.079408555320464
5,73.247,22.084241094153647,94.391,15.838654677149256,27.68,7.6186379126221535,4.643,2.333451519958363,146.703,43.620609217989475,188.78,29.82916994117301,56.835,13.863403945963954,11.742,3.817854372813611,146.966,43.61074111661875,188.614,30.421480412209895,43.996,11.365701173406029,7.857,3.416463555084881
6,29.568,16.01967558991149,116.825,9.66311289133842,44.34,9.17946962861486,9.191,3.438654292502133,58.817,31.19411136069729,233.662,15.865101873529127,90.138,16.79103614714991,20.747,5.749264739516266,58.796,30.78720897119835,233.903,16.632986720587713,68.819,12.723290498967675,14.745,4.714679544062693
7,7.381,6.779218007764376,115.45,7.736365513039786,61.3,9.021052010679208,15.733,4.604227395547478,14.607,12.932664257793318,231.324,13.187225899594157,122.593,15.83388970098829,33.735,7.797279818794024,14.59,12.802022957009248,231.207,13.519279637684914,89.784,11.544029132352733,24.625,6.210067627646251
8,1.228,1.8491715538141493,100.303,9.70089162388171,74.255,8.207395222379409,24.017,5.550091396951451,2.461,3.2910956094149424,200.574,17.227225583398543,147.622,13.147470173838462,50.248,9.494136855693341,2.331,3.338650264041681,200.495,17.173552512683738,101.56,9.434161510351801,36.512,7.464822809657278
9,0.232,0.5219659456788809,83.272,9.501910455392762,82.47,7.58119875577567,33.751,6.373509286148457,0.458,0.7879447041873286,166.397,16.504902386951667,163.239,11.015044721207909,69.248,10.85293887766269,0.39,0.7116223762687669,165.891,16.40305395891811,104.759,8.9385018775976,49.108,8.327645866971391
