dead [0]
dead [5.8418313528125605]
dead [4.75542776354277 12.776399314741536]
dead [1.3607042861165168 16.013084787351307]
dead [6.401253144902043]
dead [4.588814964449524 34.88186572060009]
dead [4.383008086460146 30.729632067778294 38.60800697936078]
alive [5.731832555068048 36.09074898064952]
alive [3.4327347530476753 11.491721433762844]
alive [6.8189139920754265 27.997535102355716 48.52895016745742]
alive [6.573927688018183 30.6690106109962 39.526789243577795]
alive [0.23589830465873515 23.581648894826273 39.26938184169447]
alive [7.864987271972448 21.050787124278376]
alive [3.798822843046171 12.143453891459332 37.41604372213199]
alive [5.041511154670216 38.30053720947867]
alive [2.783041530111702 44.65673746312381]
alive [6.634136089468194 25.500200549066967 37.74431120234528 44.98105072471594]
alive [5.089192169147725 20.20656194388997 38.9157614046516]
alive [7.255239269612207 12.73406294000762 18.881603435340264 34.47247869914439]
alive [4.663894807551335 18.244631471025254]
alive [6.321307953931568 24.75924225678481 31.303426750059817 41.596580813738576 48.08314037430796]
alive [5.030826184275268 9.143605568301961 20.735484323569334 44.70555372118697]
alive [7.018038592245955 9.580901537168094 30.83044504527709 46.183171763419146]
alive [4.910011957521659 48.61890984576755]
alive [5.437976248847277 23.796760102555563 41.0687777875812]
alive [2.491783892255128 17.355060950628953 39.82408842216377]
alive [5.906023002886691 48.945843371739116]
alive [1.599875727768953 22.743202865050904]
alive [2.142780240676535 43.92050836705597]
alive [3.6152269028759725 23.505352503888993]
alive [3.934912356628865]
alive [7.368070524856592 24.304056799727377]
alive [5.46791766199154 38.30375010035696]
alive [3.893605571238269 17.12768687387869 29.578892360807426 34.89619346033395]
alive [5.156937221658212 21.054744468278525 48.24600113629946]
alive [2.1220819527619987 35.20037050318153 43.26989359572933]
alive [6.302886859354036 27.688077785327856 44.70617071265352]
alive [5.485679558731341 12.255837126746536 22.287455070627722 33.40026897143955]
alive [7.540979114186727]
alive [1.546764782024258 34.94566034270556 44.55298305249826]
alive [4.966650434855339 38.95143097643001]
alive [5.058578083943456 11.668574252770005 24.415442539556956]
alive [1.9618728020328002 13.788602479155783]
alive [5.150339548620223 40.49951497658485]
alive [3.479582940491549 33.51238713037817]
alive [5.60873097952655 14.9130350489034 22.350361950661593 35.99128544166659]
alive [2.665313037572075]
alive [7.141403392887364 40.97735754610901]
alive [6.6506316929125955]
alive [6.540804333089429 16.512264966927596]
alive [7.693868801540862 32.685385652475816 47.737639756780744]
alive [2.9307442047946655 36.21388512448413]
alive [4.2510539984815825 11.757397645459578]
alive [4.758534483441742 22.513181916008744 45.83402460704673]
alive [6.810788692842011 20.410699682530044 33.47730994518612]
alive [2.407679630329978]
alive [5.7099547785937785 46.47916735294602]
alive [4.061363238824692 38.848486824815396]
alive [4.666196368634088 14.823421335813538 39.931323040756745]
alive [3.8387466987308128 18.647157507529503 21.910786087538686 30.557397201271524 40.58686479831109]
alive [2.0564571580372233 9.48564390135656]
alive [3.911847061594351 18.37074079518613]
alive [4.950020549649368 43.75274663619988]
alive [3.077172433278569 41.43689579885873]
alive [6.523192311154855 18.245464545574453 29.009077682311656]
alive [6.705484343619138 20.84385345798805 23.381710376085497]
alive [5.1845673644837715 33.30793580448656]
alive [3.2609291264623215 14.723051095710645 41.92409127738339]
alive [7.789317073572974 19.25571098186699]
alive [5.909045668929033 49.41381608525837]
alive [4.027065241070726 32.6994602685414 41.38557174594739]
alive [4.339151320796335 17.610129748543294 28.835547646557526]
alive [4.005832235705799 15.617931539775777 29.239841333063218]
alive [4.714912591991829 18.585520416849707]
alive [4.6839981950273755]
alive [3.153794758959161 25.889774617020596 35.38827804208331]
alive [7.066996365570645 28.950787812099005]
alive [2.145398262554279 17.286983705434423 38.48760747353154 49.30347718637526]
alive [3.226235179704233 30.63840332416462 38.18919094531237]
alive [3.4554244726504284 41.02868086469271]
alive [4.843459334658249 24.80252734153432]
alive [4.38299035173425 27.280933927368203 44.81150545528078]
