dead [0]
dead [8.164547927969066]
dead [7.747011228845029]
dead [3.628616288961227]
dead [6.1002379180505315]
alive [6.22021947070131 13.820702641826053 30.34065993540847 45.38605251130176]
alive [8.940807660712967 44.50937180471844]
alive [8.066100689240365 25.68132515408441 33.68563164640156]
alive [6.831696095991084 24.868346432311647 39.4275876310483]
alive [0.737297309509376]
alive [8.429618506596526 47.82514174236026]
alive [5.209981830401196 37.12312475449608]
alive [7.667996526694349]
alive [7.032691572924285 27.934585703068322]
alive [7.692170068279275 17.915853871506332 34.70392041777071]
alive [5.5025565856236796 13.052383858439551 22.558851905791347 49.2085700149651]
alive [4.842612324682884 34.690068057056294]
alive [3.7956285856602383 16.050366788420693]
alive [7.178466054183283 24.31551188288484]
alive [8.591390309673265 29.90341270715646 44.08094480177495]
alive [8.976075513911017 22.67453588294214 37.70451129573514]
alive [5.292069861480553 46.20637998076855]
alive [3.9324775375910836 33.13723507800944 46.66889275287212]
alive [4.157797253899685 32.42239514082377]
alive [8.498129912077763 29.579026754603678]
alive [6.153261696526429 21.659935737682066 44.847919425507385 49.73930291334523]
alive [4.497455140705432 18.655229405669893 27.78373333502557 45.588215434264335]
alive [8.274502816913763 19.75922481563445]
alive [8.098992525823782 40.61075054205937]
alive [1.1707934827827498 26.404595573751248 43.584584164082024]
alive [6.876708890404209 33.56639694430241]
alive [6.3229989812126295 22.77931194612601 25.32873166168661 38.22750985588035]
alive [3.8332907391007582 6.05147099016594 33.43575293444749]
alive [5.993891225329094 46.104286700350265]
alive [4.6296838912439755 20.82342453886818 31.607320547842917 49.61543138422816]
alive [5.310511299715639 18.55745378833012]
alive [7.352686728769383 20.079498805120455 46.70394362547365]
alive [7.374135117577271 27.584139347911986 45.8245869629666]
alive [3.789146520737686 7.605803507677601 40.72843251821501]
alive [3.01156904507466 35.281180456713706]
alive [7.605829171104288 40.017465886753705]
alive [6.817575614769104 35.086968060064]
alive [4.445224401581553]
alive [7.276940957475675 48.82165016527945]
alive [7.722297204744735 43.72043649649584]
alive [7.109697046642585 24.20927274201822 43.14238630359062]
alive [8.189087162317207 36.5981816701534]
alive [5.228815098819219 23.7873554823862 33.12646430578746]
alive [3.586125198903812 34.63513799465298]
alive [8.468689410650255]
alive [7.219078686682254 19.47207681062097 38.32362370679627 43.20016598900032 48.88476446909327]
alive [5.366295825541867 14.529982246737536 30.3678001262534]
alive [8.61033271380621 27.072148002857176 44.4870938285391]
alive [5.1984322816879365 39.970728046718726]
alive [3.604357016128258 49.426238356331396]
alive [5.2327576888491025 16.52938071845774 22.119013465176277]
alive [4.723108261518317]
alive [4.510318969617337 13.01316107690148]
alive [7.236274456652845 27.096110558754578 43.12210904529615]
alive [6.688487609157316 42.39070738807374]
alive [4.734776383595059 26.940603728319502 41.245110206247645]
alive [8.395872678339733 20.038882430837788 46.122018873179336]
