dead [4.166158619337521]
dead [5.116814273819103]
dead [6.563281559298688 17.639471334358518]
dead [6.381345284875217 31.144654329460156]
dead [4.585241851897766 27.83590981304636]
dead [7.5023457201987895 19.484898278229622 33.65364173213748]
alive [8.048851772177237 40.51293023474354]
alive [9.400461055563804]
alive [5.237783095673075 21.086720875731256 33.253495726362196]
alive [7.429660256835206 34.418042878820316]
alive [6.526775141088964 44.6265959541599]
alive [9.089274092559718 12.655593960145746 25.33191632267386 41.51906197409109]
alive [3.8606409759507216 32.83457538337587]
alive [4.752669086954757 25.71276127539928]
alive [7.260816485241093 15.432502699311316 23.882172508558906 38.11318126230532 46.25590864157326]
alive [0 29.239153960239157 37.70994350436405]
alive [6.504864245700174 10.606581064638165 26.65173308451232 31.710729915829003 40.24049032863967]
alive [5.324013798149714 34.903353092920675 45.00490894866845]
alive [4.061414231006708 23.079224408924535 39.04240864572136]
alive [6.717588886910566 30.501197331264713]
alive [5.134640611541811 30.87585657442407 46.47796029781032]
alive [4.129469344385756 8.733051214846377 45.14091298600978 49.60754566425414]
alive [1.6405274369565301 24.683777244105784 45.44839986910525]
alive [7.28260122318548 15.833930616451534 25.97853524193205]
alive [7.756032331109623 42.89021142043568]
alive [5.864608003805326 23.616680632570816 29.970945556594312 38.26262923548605 47.45470582594793]
alive [2.884642122316215 25.048646579350176]
alive [5.8600516865747485 33.789555285278084]
alive [7.318334408407556 30.696514971815013]
alive [7.860984920139932 27.787706829276175]
alive [5.09933313347787 15.761291065601943 34.14065154485793 48.61059737523686]
alive [4.92079089322108 45.30774287333666]
alive [7.0341173524481455 28.944810440481685 46.36031483346467]
alive [6.585894436664772 40.9537063206641]
alive [8.493759543369524 37.303868978740645]
alive [1.1889993480318697 10.634797190543953 23.062068018356424 41.11129806388338]
alive [4.6061159753986765 22.818683726605368]
alive [6.512923402932682]
alive [3.449176570128289 19.380405990777138 41.69014354129635 42.626708981816314]
alive [5.501968514880692 17.963353610905116 44.135311274314624]
alive [4.30390860390755 28.599935801511652 42.51876255160588]
alive [7.228512733947896 33.25621043237336 48.36703397503424]
alive [5.989554044087923 34.608560264741065]
alive [4.171464292865185 17.059718356070974]
alive [8.783374464994289 26.40959595170778]
alive [4.334483462628778 12.318754866789451 20.3293259717904 40.99782707393371]
alive [6.236548314994359 18.283681590138073 34.76319144431342]
alive [3.097827818728174 22.60650521015451 37.74752809777848]
alive [2.7341583358348687 14.020616227468432 36.05212819251075]
alive [7.80547608839286 36.68940553579255 45.32844775339253]
alive [7.678630393039317 12.327624942267303 39.53723619117922]
alive [5.276244823013282 18.95518244984319]
alive [6.169762482168434 12.508944742107696]
alive [7.965819108177419 27.4301885674665 45.97646035714825]
alive [5.701582343248169 18.03796164956304 32.22016136827407]
alive [7.131959803599236]
alive [7.083480049304111]
alive [6.942019202263696 20.01689125968077 44.58088383554262]
alive [3.7024580236499385 9.725463595958132 26.935898239244278]
alive [6.778339059985841 19.0082235578626 49.81423095106866]
alive [6.340097361610556 27.81837442129981 49.00652382093065]
alive [5.550744068759855 36.57790592475878]
alive [6.68299050592153 49.170503107124425]
alive [7.9599253511258015 49.736248183720555]
alive [7.447513937891906 42.175524206328255]
alive [1.621826108835314 25.993876685134886 44.816195958543034]
alive [6.052580255096111 29.029888904001496 44.866930735845905]
alive [6.337821515883663 43.8624946823018]
alive [5.8193592709431465 43.96643772770459]
alive [6.307660782708009 12.348836182477864 48.149073447782655]
alive [4.893505021047353 25.310924501437853]
alive [8.961129094927687 31.534718067134584]
alive [2.248464922167174 33.65449470380587]
alive [5.732497711384696 31.50913111029848]
alive [1.9149330970125906 24.642555365586425 45.556893556702825]
alive [6.24038290289319 31.73922574728412]
alive [5.363939591790086 13.035392033969021 37.353249384172244 47.64296428440479]
alive [6.063224895184814 20.098030275392485 38.81067578913042 42.45104869598037]
alive [4.364527834563817]
alive [7.126068317537347 28.866728858078698]
alive [7.196955076526945 21.885929382730325]
alive [5.120269995845158 29.106889536965525]
alive [8.171109910430488 38.93969258788978]
alive [5.918402400679785 20.96888743107419 38.061648859602776]
alive [8.192174995528777 28.617495336599404]
alive [0.07542764785587369 21.49632174892702]
alive [6.276932357610734 23.648665878646664]
alive [5.736658617383699 24.27169954466485]
alive [6.191216553426062 18.501060286837358 35.9034603792517]
alive [5.052172753443339 19.643789042807533 33.53548989025452 48.942117938955114]
alive [8.208348398651957 28.883800958799636 48.23259421189546]
alive [7.792221101983848 34.25209549061912]
alive [1.9669093575486603 15.074430420746273 28.199114247344593]
alive [0.7862072493346723 6.809626492110618 23.021550088833052 42.76384105065775]
alive [6.168117265379413 15.434170800712064 25.859070138761496]
alive [6.380257800827669 39.76688769025723]
alive [2.366012158913548 36.86025172582957]
alive [4.821273350997847 21.576017821958892 31.624962613566062]
alive [6.781001311481774 22.98419694601417]
alive [6.584789382580493 18.573802498942516 41.30511621148711]
alive [6.346397417384211 20.538331430523048]
alive [6.476364961855728 16.07506941350808 42.430122671608785]
alive [4.8865909347962395 37.17700180043947]
alive [8.553820376142827 18.795859804687858 32.97789628592358]
alive [5.40232032900461]
alive [1.4928774582565758 20.946238552932154 35.846602199487776]
alive [3.5696403810848953 21.40906060389483 48.75674492981414]
alive [6.16676035531607 20.258003349089815]
alive [6.244302501211635 28.204567449223678]
alive [6.7137375862029565 25.837825788997193 38.95746376561447]
alive [7.064886446843028 19.412452914381756]
alive [7.125632117025694 24.279875987692826 44.187821442742475]
alive [4.154808782807935 17.60605623306666 23.94865097349348]
alive [3.4423053883948382 30.10231104229885]
alive [7.285525577146929 31.579870607576396 40.014708193664845]
alive [6.664846127824557 16.591582863953334]
alive [2.7189681629040305 34.34703409783838 46.446843220977854]
alive [2.7716619962506206 27.525133025380118 39.65944245295449]
