dead [6.04625019926899]
dead [8.149189741110783]
dead [7.42891525420587]
dead [0]
dead [5.922646577214276 34.105358365949975]
dead [5.491957208030195 8.688831662348257 21.588241205067497 33.72892468406819]
dead [7.3422433201201756 18.316154823151564]
alive [6.449973120489704 35.25533000233635]
alive [8.144361189148697 30.971860262732783]
alive [6.084689854945852 20.235650000330747 31.224379216514517 42.967318022897075]
alive [8.142625393448608]
alive [6.5214543679551 20.485486387420167 28.253216880477765]
alive [7.106737145933483 23.512784228618294 46.66913160986235]
alive [0.18481421619533187 4.578723333601108 26.165024025840495]
alive [0.8943227598956939 39.95311768584785]
alive [8.634174172878572 19.550478575075697]
alive [7.459644043023566 41.55687165871795]
alive [5.4138597494383465 43.05135741079856]
alive [6.605324004284377 26.429524101671806]
alive [4.26853697674677 12.034982031758199 36.74750086119485]
alive [7.148596871296438 32.97880280612452]
alive [6.391960022912994 25.09954456854804 44.68450918317356]
alive [5.113106939008775 31.508432389301117 47.03880604810729]
alive [5.476724609084867 17.153444262618315 39.08795058832308]
alive [7.124145631092903 15.187180115874696 30.512790752125273]
alive [6.92349904537789 47.70259078568756]
alive [6.8571799253917884 39.0943814246077]
alive [5.177749322516563 24.101414881950816 49.42011230834715]
alive [5.848002224310859 21.490892362332286]
alive [5.330227394996305 28.404772339229133]
alive [5.714713936468758]
alive [6.629431171159327 25.881233522192918]
alive [0.039316065946224325 26.67078501624495 46.19765264785262]
alive [7.287388085948755 23.279338874571064]
alive [5.906599462775969 39.26240279634303 44.6687638220824]
alive [7.605623206089962 24.637054176994898 38.08121931906307 47.52875131922542]
alive [3.2891984620945434 15.399010840871206 45.500992079003844]
alive [6.942721679739675 29.38389317582828 46.37848582335425]
alive [6.837371635346883 34.23214867464353]
alive [6.246157794823536 40.378009379483785]
alive [6.080173085756618 31.24417573890078]
alive [6.580474505870878 16.926256744196788 45.59656268729334]
alive [6.956364291367005 22.87114084075509 35.34558634233877 43.186382839958185]
alive [4.348740530623909 23.343778203596937 34.8838586659945]
alive [6.77940844943176 32.12200710010284]
alive [5.844024008812058]
alive [0.4800172611885357 20.298639501625722 27.571663268358513 48.394281436670745]
alive [6.6442903351115215 39.749331248918]
alive [3.4104521244392134 13.100932464021843]
alive [5.887353473992478 34.24986326360884]
alive [9.515792538591079 41.80854080307645]
alive [6.731129617013165]
alive [7.830537651277422 17.12576967725291 36.142824675416186 49.657401294371645]
alive [6.6024059320375725 43.67701615590904]
alive [4.256449012100332 21.09116880993945 39.27934810037625]
alive [7.015556128824781]
alive [10.018928164441304 32.94117488028402]
alive [8.037261970715601 36.262848808957514]
alive [4.708616440557969 25.66414732851376]
alive [5.112917700560844 26.927061292212294]
alive [5.8541502612018155]
alive [7.365470612630492 25.4562171728283]
alive [4.2184200926794455 47.15951668174934]
alive [6.4121471250433695 36.85516135118658]
alive [5.9244374224240275 14.093725149521646 22.452692229779046 46.878980526284096]
alive [4.97198610154078 15.59400634137811 26.104484108483483]
alive [5.619482812315808 19.01857329764727]
alive [8.0055478745164 28.012726554364356]
alive [4.935719223887305 15.563745391773537 35.47227317593962]
alive [5.905413392705384 23.40689344621485]
alive [8.482422373194254 19.097683635794702 30.17037409126997]
alive [4.49018038954076 28.966013686664294 42.25582161696957]
alive [3.634860137210786 19.533067907322355]
alive [6.101551358510208 43.92142173763788]
alive [6.639404322422781 13.362271758007715 48.51411444100663]
alive [7.5083823194456665 39.299671965208915]
alive [6.366505718583033 26.999084550768156]
alive [7.577464183630156 30.828842109863103 45.94339741610129]
alive [7.589432190575261 24.972851129495506 30.74696492209051 37.029126207149446]
alive [5.532143260357414 19.946289682821895 47.290134001045764]
alive [8.565031082393293 16.208305051304112 28.847920309210096 37.142276354390525 42.060148927305924]
alive [5.62165258763914 27.66887591556938 37.35807166421291]
alive [6.333309711528499 17.733331505625557 42.05877157544294]
alive [6.8248208039833935 22.681493793619563 32.22703999080722 45.12387745551635]
alive [6.721412135210816 20.43784819686527 32.050750729041376]
alive [6.843504652516855 37.72244975493147 47.084217255386186]
alive [6.584159061438095 49.14649131573537]
alive [4.165052974655636 23.357665560074878 31.5964756576069 43.315724883375886]
alive [6.2421637444838 43.89096277053365]
alive [7.204533411163576 25.55102108947039]
alive [4.136564753232455 32.090524203496905]
alive [5.094788814523731 23.07796273866033]
alive [6.100344890956756 42.13263175748193]
alive [6.431122220055127 29.852189981911774]
alive [5.113401038148305 9.911100626090295]
alive [5.10542745547685 25.40505961431178 45.245907603160084]
alive [5.842018247571241 32.369050636244296]
alive [7.950499486579568 23.91398700336272 32.86191876994233]
alive [5.269153696476527 20.30433473793657]
alive [8.221201515299077 23.589759339217313 35.25451198959359]
alive [5.32222543489545 21.0253324117217 32.96752444162008 42.99907401401644]
alive [8.134771798612483 12.848626534891942 45.498949968366524]
alive [7.803939205424123 26.739854390502988 46.649671731064075]
alive [0.5119708352122451]
alive [6.91317612417708 37.65281249806066 47.26202461447273]
alive [3.3631513909499855 28.22390869545785 49.00092725333053]
alive [6.108687035569939 15.646511227687368]
alive [8.705903493484666 28.547987325989183]
alive [6.807947611649596 24.246455352252898 33.06695002101361]
alive [0.742404368789294 21.909708554510043]
alive [6.003821803362483 16.643400212949985]
alive [3.635874714027358 20.337890802537718 29.48514262875953]
alive [5.970193631278417 30.806066279097767]
alive [5.823423693987226 18.246160571348454]
alive [5.3548706708310165 35.57953401857529]
alive [6.715139961154566 25.704852777240873 48.496827035403875]
alive [6.64386331876427 17.491302228127193 48.62219107970097]
alive [7.989561101569654 36.234142008063735]
alive [6.901169556147607 20.57768716201855 49.50869772508293]
alive [6.9549946876436515 28.154591236718268]
alive [6.30833186418765 24.742147243727466]
alive [6.702280479901635 40.07813456399675]
alive [5.41446159126078 20.858536493019454 38.88530748542578]
alive [6.478488240548076 18.121051667214775]
alive [4.6609348996363655 34.64977122541136]
alive [6.672871857934611 27.659476425274164 43.80243661893509]
alive [6.184513859975548 48.851417100681225]
alive [5.581879456615711 31.232744743183947]
alive [5.0503332088689685 18.13908306402958 40.413499262952236]
alive [6.480324691341628 19.819652722133384]
alive [5.274669277618837 42.02079437793292]
alive [6.252858759496772]
alive [5.962089678959146 37.1327959824719]
alive [4.000429076949019 12.927126434879476 45.5171982497663]
alive [7.449913374590123 17.83414980613758 47.64707884548225]
alive [5.260897932698063 9.551350012652227]
alive [6.186327075112974 29.20788088650261]
alive [7.298439479847034 24.693669041920376]
alive [4.51451882632431 16.030495226860907]
alive [5.781363384187169 15.785976608686678 33.430568124669705]
alive [5.70278652732718 23.64077551814838 36.25684746408063]
alive [10.475392626227393 44.80409153751398]
alive [6.642469720459311 23.551439172570937]
alive [5.5325561046753755 32.597573975256175]
