dead [0]
dead [5.643243153513278]
dead [2.863604609978183]
dead [1.8587727302495243]
dead [4.708268312063332]
dead [5.603604718905308]
dead [7.549921910336265 19.66758368341527]
alive [1.5000115413098574 24.461425754317172 35.06445515742806]
alive [3.597535393032831 17.184830312094853 39.109728747950626]
alive [3.5644319353621357 16.400490358558628 36.29065649534325]
alive [3.2050736956277444 11.36079496093743 27.259180828796595 45.7155667784344]
alive [5.0292219274671845 18.786989248106668 40.215565397312716]
alive [5.835844586051764 23.038623776913152 42.33328780723491]
alive [5.549281056833413 47.76692524697327]
alive [7.155719228089323 24.603566945253558 45.80194893647191]
alive [5.81827241144652 11.351392252848033 34.64472715162594 44.89802376977117]
alive [6.926852689636096 20.197963129757493]
alive [8.223413058308008 20.451277574697734 35.059911159918784]
alive [4.919783258396624 20.380560167859738 48.4543744800073]
alive [6.925519578015165 22.779159993612033 25.32572023314712 32.40610810782009]
alive [5.280452007972484 14.05104938503091 35.51977287985261]
alive [7.415450007725881 39.515111483257485 48.83538212540073]
alive [3.6685819396369284 38.14041704185985]
alive [5.56435152624019 19.881904028705897 41.26160974885649]
alive [4.380939062633724 29.60639800474241 35.01342390129594 46.363867298271984]
alive [5.567526968895661 21.92314711557371 42.50496475117606]
alive [4.095762218904964 28.40296435572796 46.69699804047664]
alive [6.7570221944630955 21.573825919135285 33.85224597493547 45.89983677213321]
alive [3.21721274937443 7.754205473118735 26.69290012212289]
alive [4.199768603399166 48.73419029814436]
alive [5.315620897050458 33.191008173007546]
alive [3.0901165356369322 41.85907792053077]
alive [6.1051654390097205 35.10392476589847]
alive [7.902960833845402 25.537998919054406]
alive [3.842887332759165 45.2258931903216]
alive [6.373451932814368 39.22605203502798 49.25852158605689]
alive [0.40922768315845437 37.6813590985655]
alive [6.484804586236 25.145867620879912 31.34294756647752]
alive [4.482453389474272 18.484905937893792 41.88427069231493]
alive [4.920911204997829 20.389496927416445 46.967086941391116]
alive [1.4599329434547434 13.233347917916713 25.33626615593375]
alive [5.676442178096011 35.16517967087128 46.87066215176401]
alive [1.8549937740234343 45.00147610830884]
alive [4.503869337702565 29.026766578675392]
alive [3.134924241291099 30.143236365348596]
alive [3.3229310748431256 19.985692906539764 39.67099232463983]
alive [4.421826494463794 23.800186398674146 26.452729816743787 33.805412556348905]
alive [3.469923173942699 23.460127563941995 42.46696919711393]
alive [6.267505049151306 14.912582238695448]
