dead [8.636033081357706]
dead [7.65775877288921]
dead [1.5127454506994567]
dead [3.282241123397503 14.191208688453434 24.86655593513299]
alive [6.3633546466820565 21.452763533752 43.997669393274606]
alive [9.722665139392214 45.08785068728805]
alive [0.4990260274986871 34.51748248869274]
alive [7.394720027927412 35.529359001578726]
alive [8.937095038573512 14.574629345315765 27.038401488319924]
alive [4.223460957962242 16.75891476059287]
alive [6.765815344321136]
alive [6.476069675518685 15.554221706545952]
alive [7.770284775336983 49.602965996307674]
alive [6.102523695786268]
alive [6.987169832582023 29.323814925207152]
alive [7.5518558044354975 25.97096050069428]
alive [6.467707285650025 25.84036218165554 39.78127408822172]
alive [6.623454663675936 13.832555898640786 33.666183356399735]
alive [6.194039121415384 39.16465270407753]
alive [5.567483143175638]
alive [8.904753157702412]
alive [6.614440252977662 21.393888760791835 30.308808859663234]
alive [6.67900469675926]
alive [3.224541610574446 35.48872965631675]
alive [6.054158655712 42.00842551737882]
alive [7.686205475679255 14.879315601472774 43.799882922797664]
alive [6.409543345546356]
alive [7.982175080159498 29.49351585905334]
alive [5.836894187756033 35.54827823602723]
alive [5.1363714171826995 16.975429563687765 46.165336483052364]
alive [8.031989480002201 45.91908567762011]
alive [8.352586062017348 18.58213849643508 45.860563273574456]
alive [7.963358391599656 41.7035605928503]
alive [5.345619839232788 16.21524068739297 22.8255472379336 33.903023376938336]
alive [5.048727232557291 11.270744520387533 28.18847380680272]
alive [9.086254580378936 33.671190684800536]
alive [6.4302051940601705 39.66506938395808]
alive [7.436601067686126 15.36047163430741 46.29353582775177]
alive [5.620149273877052 9.589012554135143 18.9681286745886]
alive [2.75498169287707 20.166656690676596 31.012166657189507 49.99536923205951]
alive [7.626042251536505 19.512228671344786]
alive [3.076533515967101 27.284391681918713]
alive [6.141313691752229 35.5290933441404]
alive [6.739946819557574 20.62312465013651 33.30726031773299]
alive [7.213543914834195 13.368300525274499 27.588521782236494]
alive [6.465485102157752]
alive [5.971103150224822 9.737222364132638 38.86409805197711 45.00273343407361]
alive [5.530120838592329 12.549694027075255 28.700638178092557 44.96537087505507]
alive [5.669002528626112 49.7663919628555]
alive [7.750729084300376 19.601009244917723 25.159416191140906]
alive [7.959169472851942 37.563304206841565 45.90739830726695]
alive [6.22293176729219 19.62909539019697 36.00434765965915]
alive [5.323644785731996 36.438797909143055]
alive [5.2856727760512525 18.435179736492]
alive [7.079381292025504 24.7152249892863 33.25041900578503]
alive [7.272034929482689 47.81179497898851]
alive [4.864237405953838 18.783692112852822 31.92509165316394]
alive [4.358326247066596 18.78579151075734]
alive [4.77442856315149 11.9982115311349 27.16118345123535]
alive [7.631031001071984 37.13454155979104]
alive [1.846893143080434 17.68309443758102 39.74677552998585 48.12442030532617]
alive [7.660908566503447 24.03736693239351]
alive [0.8584660927389013 29.51903907739309 44.41721763333563 47.70946761677605]
alive [8.183453782784866 21.14743301227462 25.82239259098303 33.69350654995489]
alive [7.045568688985218 27.118731883777567 46.727001774241145]
alive [7.091977323518843 38.47408081200597]
alive [7.111087144185368 46.19100658064251]
alive [8.351966262932164 30.039805778710562]
alive [3.435541305579725 37.274641147016276]
alive [8.600865004433528 23.827871006024317]
alive [7.5938054170683325 35.86425401325139]
alive [7.655034780873784 14.479847840021812 25.044173587972352 30.77912272586467]
alive [6.784666294276876 42.36395235290552]
alive [5.875401351332133 27.056654228962934]
alive [5.536896927780725 23.732013660135127 36.04689822186502]
alive [9.85861354201487 37.27040738015097]
alive [6.4196775984778895 19.401202483777773 45.557352019208054]
alive [6.337695366302586 24.38716726645112 34.60497767858215]
alive [0.8443052972768078 13.67407653637177 33.06867760275286 44.31983873238668]
alive [7.319004107512384 48.11196596544171]
alive [8.944492789204492 35.38777330681601]
alive [5.3440624296481225 12.194105280085175 29.173193435521522]
alive [5.550561499285364 25.771413829432525 47.682267661426586]
alive [8.04090895117803 45.6214342810911]
alive [5.669183743309342 17.16733650605445 31.21632822879163 46.19022748496854]
alive [6.495845008320748 46.89137133676481]
alive [7.67252364232763 34.60308008751786]
alive [6.645746161526059 49.71163860333632]
alive [5.137010737392524 20.695451301695645]
alive [6.765056826248147 34.92515009392032 47.546783860208265]
alive [6.497769250743177 27.779856778210334 35.220634369510464 49.77413665553304]
alive [8.338640889921612 44.076370858850105]
alive [6.418434979518297 17.922111022255947 35.39901660759727]
alive [6.960939002926198 13.094108044142375 43.35881671786718]
alive [6.1519633981220085 30.122109143519463]
alive [5.760843761203019 14.53892197109417 19.417587833329986 45.561986425000256]
alive [7.635967348011974 20.70069980146814]
alive [8.032663687509423 26.081563679404713 35.98423354639346]
alive [6.257844935066985 25.20668536500144 49.788720017837946]
alive [10.596735962198554 37.954675532387235]
alive [4.262318010320737 30.548678229705775 47.28465184556368]
alive [7.935903811810126 40.14492223996364]
alive [4.362590835007688 32.099999660882155 49.90172860575071]
alive [6.712854837341667 33.36529292629899 41.607229493168155]
alive [8.543803970670059 21.97961549855427 35.30559488723506]
alive [8.41337963039144 47.72034470541958]
alive [0.6476294481533215 20.284770441080116 41.35019418133681]
alive [5.917466386932157 25.606955162151607]
