dead [0 10.936789481444288]
dead [3.281126401629362 10.62159303355282 13.2484876165164]
dead [4.387161646575151]
dead [3.9488395345485467 16.790029325005538]
dead [5.300324741817845]
alive [1.5743492111555393 17.110270726504357 28.28116215716233 33.38817839816195]
alive [4.2255187641645815 22.18004040716541]
alive [6.980517780501301 19.40656777857767 42.61847626989435 49.682243127491354]
alive [3.0511615063684174 16.676730469015595 23.564778867918125 45.55029044154073]
alive [5.579952609519335 12.558301266206092 25.48365883510003 40.22207429829421]
alive [5.3402780936138905 29.77193190445214]
alive [5.735681723005165 27.788559165206287]
alive [4.489324050205484 29.754127582684113]
alive [6.27479072900922 24.508401709948973]
alive [7.976418915906519]
alive [5.344701060896033 39.241893191735144]
alive [5.840090216455347 43.620689903375684]
alive [4.912547641067084 19.321052059903863]
alive [3.8562038986998965]
alive [5.3264029233466035 29.057951002246707]
alive [3.271269103895633]
alive [7.119834555460261 38.00871933920383]
alive [5.913925024214679 20.466022003262488 37.79854093574795]
alive [7.380730682665799 48.21627021246938]
alive [4.722015038654844 16.998036533951183 23.073557225867468]
alive [4.857684353063833 33.1104835748448 47.77903090199142]
alive [7.971405352283518 13.687679808015057 38.22776445222275 48.52052635093897]
alive [0.6674031400340067 22.05185374506609 32.9044069333141]
alive [5.808989071170288 20.61335748692089 42.94873616498052]
alive [4.4855787504175595 32.061425216799]
alive [7.785443350618106 36.17799770233308]
alive [6.174758646451551 23.951722579334508 37.12531591071802]
alive [5.783468263644414 42.84087830293414]
alive [7.063101133587432 17.023088948842798 26.664531879236577]
alive [3.8008649680512385 21.172568126988537]
alive [5.724478563060101 20.705435539977273 26.506195185928025]
alive [3.782713248874847 20.82942021936723 24.06936817588423 41.34084768391948]
alive [5.68514781136541 33.687287719968886]
alive [1.5907729212941906 34.75430098283483]
alive [4.552534003067822 22.394299102669972]
alive [6.9587001904508075 25.97291798328058 48.307360929411644]
alive [6.268402605250719 17.006703213392353]
alive [6.828060871994859]
alive [4.236371125740898 10.363936400899167]
alive [5.159127784777905 39.16281805807702]
alive [3.8115307644537935 11.988879371409752 28.630209029623234 37.12067636946819]
alive [6.4811309444373375 22.90403707561958 45.10405528937274]
alive [7.736742737214446 19.17318751278274]
alive [4.158055387959548 27.18513135985947 35.055454598982884]
alive [3.836676312854546 28.353232904636524 44.22339171480763]
alive [3.482249312381895 43.51429530742585]
alive [5.078175560641188 30.234784745158255]
alive [5.198158752098611 37.88559606879663]
alive [6.195822132734682 39.0112854727797]
alive [8.00408455880519 31.22538271648976]
alive [5.152377453041248 19.200786141049317 43.863150817339225]
alive [4.212384413468619 13.839746600152218]
alive [5.462264924493079 17.11663614097184]
alive [5.919224295482767 29.637107886947696 46.863913771315026]
alive [5.333298569420351 24.75190153241451 42.94734518898716]
alive [4.410286052530633 31.688528958336725]
alive [7.790679225869073 22.094741568723823]
alive [8.36695915578553 23.426577564907987 33.120560543687134]
alive [8.23787731793147 26.01684267072628]
alive [6.917182314681813 13.859253061368065 37.57686507782933]
alive [7.56429428176423]
alive [5.138857844706602 23.02388336649299 40.36514652819735 43.11307774253304]
alive [7.159173965697018 13.215103162871255 17.39292763359883 26.60665929099201 44.08395295147717]
alive [4.488603588130625 19.86829151619095]
alive [3.526163278851835 9.836041450816525]
alive [8.0381189771774 44.660003702868416]
alive [5.349109302878874 13.040074104183898 22.853615532243158]
alive [6.769118579294894 17.563083989929137]
alive [6.003234106461241 28.864621900712315]
alive [4.882086069125988]
alive [5.360361407435477 46.03043365733744]
alive [8.490010382451619 32.31875515963643 42.939522608909314]
alive [6.882755230673713 27.110132025222217 38.37067627156518 49.19103240201252]
alive [3.264326299603758 40.288091820790484]
alive [4.693511003719579]
alive [5.9185089052776485 15.87831364773758 39.65134049193057]
alive [2.7532048662494066 40.40138910104186]
alive [6.617207325287071 20.246564450142497 39.03647582389425]
alive [6.060440806264346 21.899299885321987 36.72858939334365 45.2900123187257]
alive [2.955730223463858 36.403534881566515]
alive [5.159415301844283 29.0992474788692]
alive [3.546110532161746 21.352025133436303 35.52695410808986 49.97463793116916]
alive [6.0291079662770555]
alive [6.07751585353851 23.97726055156081]
alive [5.802336891052934 23.704752449584127]
alive [7.727003398370024 28.403527828334315 33.78419584797702]
alive [3.661797225877676 8.491713036178304 24.899109383806103]
alive [4.901765211240782 34.8528725781235]
alive [4.274746571476972 11.749070814956651 37.17072732597472]
alive [6.5781291680329605 32.382505330679244]
alive [5.918299489239303 36.71024592696366]
alive [6.544221432877069 38.03810451612531 47.96835613742204]
alive [0.6046344825650937 32.26704939854322 48.960016226959894]
alive [6.470247896214209 37.59827764663131 47.17035603788981]
alive [6.886213214881407 47.45593762685642]
alive [6.119479058436091 18.326817230012885]
alive [4.4131269068785794 12.113481108234788 23.448115280323606]
alive [4.247091110489989 21.340062344575507 32.027501910876694 45.85465997643548]
alive [7.409340759122568 22.148182884920995 45.735635028625744]
alive [4.556266951959864 20.725597689116704]
alive [4.882727014299741 36.85115608793836 41.62767494904667]
alive [4.940674667562187]
alive [6.833125923674187 20.06243355421473]
alive [5.814489399311348 22.176335098190187]
alive [3.3332684247317257 47.97258166081728]
alive [3.4941809663060686 32.22047290806325]
alive [6.459245575725274 37.871456400746155]
alive [3.585472095996597 17.252989427479232 38.090872748743294 46.74848714244276]
alive [5.890467028634391 16.983860039122934]
alive [7.107622400516609 16.63445515627625 36.90162636506115]
alive [3.3737010874117908 22.754420777214825 41.042338207151275]
alive [5.956800315579667]
alive [6.744226321980551 26.909226623826434 49.092576957426154]
alive [4.944056604265474 41.4695555655209]
alive [4.040959754996258 7.742519894477867 20.926741499804276 30.698829201185724 35.887157304221056 45.69800314859688]
