dead [2.2719369342385045]
dead [5.433727805114953]
dead [2.4162299617600387]
dead [3.5500455008591656]
alive [6.783410717485849 31.491592481105357]
alive [5.518873838175881 15.279445117377456 27.14734115033904]
alive [4.530261859094704 26.605051416657467]
alive [1.6978050091474233 19.100002077867156]
alive [8.680917379809237 38.12384662138297]
alive [4.640985058496197 40.27643830724088]
alive [9.328102142166166]
alive [5.00003175473496 22.045009958193827 30.849185278261427 42.61790186577703]
alive [7.103373426431793 32.66937478682757]
alive [6.455111374446265 38.76673253878499]
alive [7.180362474876099]
alive [5.88395156640355 20.415031325562186 32.78672100029127 48.12534808743408]
alive [2.3326320391667466 25.927941546560064 42.13331320746851]
alive [7.906265740339582 21.538819048389747 38.016169135245285]
alive [3.269692099266537 42.94293466697446]
alive [4.824907039379511 23.26212790130095 36.57122163726378]
alive [5.724673542578884]
alive [5.7833476177841705 32.15946234198984]
alive [5.6957155735864085 14.968663449346273]
alive [6.876245005723154 34.31252301476805]
alive [5.566039386352695 31.836564263864258]
alive [5.869204463460245 37.75333181642677]
alive [7.082310134411574 28.563696948170772 44.90727258263335]
alive [6.133534370758329]
alive [10.717073606968718 33.525643662946685]
alive [3.2785357022651564 41.32308444328281]
alive [9.584715548874128 32.80878230871788 37.08582551149315]
alive [6.441339404991204 22.045477720039038 34.28384243316587]
alive [4.417178467865392 16.744939553162357]
alive [7.37289422178948]
alive [6.26982992606019 22.64251138929156 49.02985416150542]
alive [6.778290167059244 27.855448941963708 40.8497385705752]
alive [6.072201203892212 28.020173885141137 46.95706956013474]
alive [5.021537075997269 16.42085409998573 48.82090188018278]
alive [5.716961351921661 20.13279432780589]
alive [7.048878266710918]
alive [8.156319271678665 38.231484048862484]
alive [6.60736633063797 40.56848037539591]
alive [6.335749475021048 16.19182936732149 37.00925035366184]
alive [6.188305708384792 20.023077030403616]
alive [2.320639457087952 24.123811169497355]
alive [6.190875706719154 30.868923367476373 35.83047989662441 45.465776166501456]
alive [1.022167948522861 38.431205436667646]
alive [7.497753067960067 19.510733849780326]
alive [3.658513483109273 28.51382900817283]
alive [4.613183308396569 10.952576440288947 27.69788948328929]
alive [7.455359198134511 24.25932294420482 44.41419862604058]
alive [6.497269595649668 34.54333851315323 47.26644285170183]
alive [6.014325449340899 41.17625485881863]
alive [6.965205172865532 13.349774468302135 35.56726914367188]
alive [6.519588058394096 28.970905378312775]
alive [4.251925640716014 43.565803548007764]
alive [6.721890815090889 43.59463460996647]
alive [4.633268464749069 24.04750409719736 41.05202676338756]
alive [3.355815507410459 15.800324386799755]
alive [4.609877101470805 30.198164079270313 42.524265476296115]
alive [6.642804802306528 35.28539258646301]
alive [1.0175359232974877 11.459260401343865]
alive [1.8454531717483593 24.221088232548855]
alive [5.782288977808383 16.8652575541501]
alive [7.141328721970162]
alive [4.898444915092135]
alive [7.3956712121918065 20.989810956246046 36.2356786360025]
alive [8.196659520447287 33.21320697343869]
alive [4.530361789820312]
alive [6.009469657249052 26.378720445167456]
alive [3.3432504909265437 13.080759562715922 41.671400983895346]
alive [4.086623817264027 33.774510948636355]
alive [2.302402981832583 27.238210207328557 37.823664987807085 43.55014330442126]
alive [4.4859589142062815 25.326508963695566 37.95471061257808]
alive [4.604368261525803 32.56624385785791]
alive [4.740831975302926 29.15597594957583]
alive [5.000286470853183 15.508593440725877]
alive [3.1213316870437953 24.86459420307795 42.068866467200166]
alive [5.0041367162953 33.9392354901909]
alive [7.559660303215632]
alive [4.480093068103597 33.42645607172917]
alive [6.388847790726254 25.14801333563035 35.932926057507366 46.365259662906205]
alive [5.781223374616203 19.586479775429357]
alive [4.501448040919739 42.63266488586322]
alive [7.359798836397683 17.587271892419807 46.71380675490057]
alive [3.4313491182063003 29.908737922696403]
alive [8.807526957281484 36.71984504281679 49.23542500076375]
alive [5.926549296741205]
