dead [0]
dead [3.2480722490633376]
dead [4.872276726057259]
dead [8.872076565090687]
dead [1.841842252950338 21.18833859129965]
dead [7.634510315882057 30.56589816353742 35.69924021222686]
alive [4.030438722631726 16.84056447642948]
alive [5.869247418657744 22.694646226963975 37.98076124533313]
alive [5.934531115359153 26.118676820972436]
alive [6.2449705743038475 17.65599354946378 32.84657483891723]
alive [3.7315936026690126]
alive [10.959363258678934 25.23491285982799 42.814191304731594]
alive [7.136214148721215 19.237260750728176]
alive [4.917741158190707]
alive [6.810486320519515 23.18576085340468]
alive [3.875787858155059 23.30695893670524]
alive [6.142698302765307 20.923371476204583 38.47482576239506]
alive [7.326398376117962 18.98731872468539 31.60716735862197]
alive [7.744822829178108 23.518010323330675 41.98120508832322]
alive [7.463836421485264 21.913818689548904 49.310924116132334]
alive [6.106837093503002 35.61596684803035 41.45126289656168]
alive [6.398189082901305 38.71069285294056]
alive [9.285728297484852 30.96097312895548 49.38537069504574]
alive [5.6411035859216225]
alive [9.372683723440899 28.01418979105801 46.674716840810675]
alive [3.667222021654122 22.867159520041305 49.275570274337916]
alive [6.66915792419278 42.743342007238056]
alive [7.6887198893903745 23.503384984434735]
alive [7.834626004201619 14.498903187665544]
alive [6.7475065070092795 27.47200148497516]
alive [5.0703492788846765 11.95025704017888 36.30478424632124]
alive [7.89695132950445]
alive [8.534061794229643 39.77116936825938]
alive [6.043837446875567 21.128956453104546 45.02008673255153]
alive [8.324018658544599 23.409353281335417]
alive [7.300549036019179 15.391348784778502 38.935037377298656]
alive [3.603867525172499 37.622561523680005 44.88399420194308]
alive [7.176790374318488 25.699515093533442]
alive [8.72116444472046]
alive [3.325565584794521 31.11547082036609]
alive [9.28147371397638 20.50748246090604 38.713057967617885 46.93761825092351]
alive [4.702112829031346 23.724881529881962]
alive [8.023356159925873]
alive [4.202078972972145 19.15450884995481 36.84822957374504]
alive [7.239406641818901 24.66357242395669 38.084552683636915]
alive [4.501479640502551 23.733502704691418]
alive [6.486018557005334 16.01560404853684 45.266001074486894]
alive [0.37821160798396297 27.489710194233073 37.7184087721665]
alive [5.362218662738091 31.694593530709376]
alive [8.012000242526756 35.636074927197534 49.746940671533494]
alive [6.734269160078096]
alive [4.7455903667406965 21.965064632729707]
alive [4.439093664196205 30.138308434841267 45.61684178425652]
alive [4.116823019989775 31.801004395509583]
alive [2.457947168086014 20.814116068843923 35.06557700486298]
alive [6.813689516692259 47.64254614754419]
alive [7.147658963694009 36.38592648945264 49.34262145132715]
alive [6.236790888497958 37.69520000222664]
alive [3.8923803178309058 18.00712354739458]
alive [6.193972755264824]
alive [7.100484388119487 28.94832998866658 46.43130954960554]
alive [7.26009967399525 15.609592242639613 28.8345609771784]
alive [4.374129984412227 25.253655316668873 37.54642118615214]
alive [6.859508535172301 18.252494908979767 46.03778311961309]
alive [4.286268582770816 16.52458788376375 43.87722797614904]
alive [2.6271422978654004 23.28124992997939 39.423292932476116 46.66107704730145]
alive [7.933943367026106 28.709963973212798 39.79077714032044]
alive [3.7514540408979737 8.196599173173322 17.25525015543318 32.30476279125877]
alive [4.320096203681028 15.411360980796271 32.08947001265734 46.68762995658316]
alive [7.572225203018052 27.32897509315511]
alive [5.899871099047834]
alive [7.442558539452065 17.678577924137553 28.86852061711135]
alive [6.544888897134081 32.16210745139311]
alive [4.67999110093384 23.221592235991668 49.513727888135456]
alive [8.475935697893028 17.971569604261582 43.825198072288146]
alive [7.095319527555959]
alive [7.225357511651702 13.035562160550162]
alive [4.244254363856382 23.836815812684016 45.56220405738281]
alive [7.3731830909491896 18.126355785594953 31.094196503594958 40.025049956975714]
alive [4.604449617742149 34.26957797919602]
alive [8.722560263033072]
alive [6.997070361216284 24.05096072102156 44.9913148940135]
alive [7.206561928154123 27.92885025058907 43.94740691254471]
alive [7.714750864226275 27.940282621934504 46.843891017584944]
alive [5.561609360674033 16.73465830685288 32.50451447728362 43.97857428394542]
alive [2.0323354639957105 27.74761227356438 48.824899574349025]
alive [4.678762377398461 21.5657008617339 26.16728307883934]
alive [8.404477301646187 23.805030315041815 37.8324127260926]
alive [6.501104541924604 27.51510822400903]
alive [6.444963577890948 32.546685322852426 42.835477377925805]
alive [8.659426504015586 33.00202071811606]
alive [5.716295890751602 38.02183759979645]
alive [6.434837504921168 28.4825210755326 41.83701933182601]
alive [9.13974485761366 34.65948493321386]
alive [7.127741300137009 29.319777027174165]
alive [8.812874832655899 32.502179685500266]
alive [5.720094360288215 26.33051712550544 49.22908289578013]
alive [3.7019198439348093]
alive [1.0844273509017708 20.31869420984325 26.885002214490147]
alive [1.1007939160910478 26.089714667496775 41.80166450496838]
alive [6.112190097134737 16.1302437518508 30.700244940680253]
alive [6.65991189030711 13.380524525849946 27.752870699382242]
alive [7.9459262962360855 30.81547025163271]
alive [5.226005986923743 41.86095134132301]
alive [3.485016108125113 19.6667735851049 47.51615941216304]
alive [7.192956439009887 22.02404684292256 43.59028255789647]
alive [6.308541216173518]
alive [8.132175908172929 21.768314892480337 47.32138610395416]
alive [6.596923139084951 37.63396006708021 47.75764568846522]
alive [8.101678266216844]
alive [6.155994626832077 26.160098336786366 46.705856447170476]
alive [5.7367062859400155 20.813585358693917 44.54048540377544]
alive [7.051032164398174 49.51387518810674]
alive [4.212082973121313 16.615299026948755 40.19758470740868]
alive [6.931767542967115 39.30487749059351]
alive [6.023087918013713 36.469444971294514]
alive [4.505738561524236 23.345448234380537]
alive [4.739952827847924 16.82363600756794 36.19193429131118 47.41689908191436]
alive [1.1188046744893916 36.18997147215893]
alive [7.173572573931721 25.587235565561787 41.623400086460386]
alive [6.631425907948111 46.34049989045832]
alive [1.8911439960322536 8.430010123400287 26.859845160755135 48.08341651603879]
alive [6.885531534190603 24.57264143313004 46.79392793714355]
alive [7.128196806651176 23.76090816515164 45.15153081365295]
alive [5.769666004721285 25.009825535176862 41.97716983120565]
alive [1.0305705262777358 25.16012293343728 48.20155999475573]
alive [4.8727104758653725 13.935237160775035]
alive [5.169540949382864 8.510750115016428 41.416001505646435]
alive [6.13603813995789 32.6737132873451]
alive [3.1292028517356423 21.095085143922805 40.49584376666311]
alive [8.283943520963858 40.30297005040283]
alive [6.674080163460906 14.912947563548173]
alive [5.724693493220617 40.680116679141335]
alive [6.516487049953239 30.156780539583714]
alive [7.258259393142474 25.187403312427662 29.783541124786133]
alive [6.434035081562707 42.401939248440705]
alive [7.306106423574949 28.1058676701441 42.73048939394803]
alive [7.938859521889222 15.772791955665337]
alive [8.231651976990648 22.39696522797822 37.80942392072206]
alive [7.753941356811331 41.88131393685814]
alive [1.3399634461394299 15.728924737248407 31.56228888504759 46.8657003233224]
alive [5.279649752423664 15.449419116417598 27.93083259731942 47.03325459720171]
alive [5.160782653633817 43.28993254882189]
alive [8.60705318329006 17.29592848950084 27.755625896205203 45.99828151788935]
alive [4.900388745599956 8.605508445794895 28.03668401964782]
alive [3.833071717518357 26.318593057719948]
alive [7.167869033419255 35.62079056096262]
alive [3.05929684379281]
alive [5.501284761270806 41.78607469442568 49.77185033465104]
alive [6.459759195666691 27.7525326144475]
alive [7.3023583781285275 23.638944865975194]
alive [1.737934928347656 14.207820562741345]
alive [6.614105824753347 22.517248934029915]
alive [7.7033888241848345 37.977539258741544]
alive [7.833665385689976 21.059043950514845 33.06385726140381 49.64921862621928]
alive [7.645111080572139 22.02838677914007 36.593991701455224 46.31127838282648]
alive [4.212168934131726 15.242278227759341 33.957252779482374]
alive [5.731804267452318 30.099284301220717]
alive [5.272346461505535 31.3375546474073 33.464919882510955]
alive [6.643948570143385]
alive [7.288112695350561 31.26739130509588 48.47868649771163]
alive [4.487138384476802 24.87260266025929]
alive [7.364875615196323 39.637937941824035]
alive [8.169340113012055 39.524495783250856]
alive [7.519061108069257]
alive [7.594352043315081 30.021588316748208 36.04843117008049 39.15522974396856]
alive [11.218079185047413 27.290466799938876]
alive [4.6672203787056015 29.564503692274666 43.2550204551818]
alive [4.708420405710522 31.08391289218478 47.561342345852346]
alive [7.057164828843795 34.340347897431826]
alive [8.831475968653253 39.61904312002888]
alive [6.742431328731379 40.06958484793567]
alive [6.552661254044799]
alive [7.948522372697703 24.291539401288546 30.58243090959164]
alive [7.793789737589914 45.2840444806064]
alive [7.8006535109810065 20.77560711295006 27.30007894125356]
alive [7.176372461671117]
alive [8.825027088585594 25.410879732734152]
alive [5.433585211595813 36.81006233213292]
alive [8.000465331910743 38.52725560944982]
alive [6.2458629109244335 28.69996505343601 40.122370929582175]
alive [5.183713760406235 16.172886459000196 35.292366211735306]
alive [7.2567043724311375 25.899565611138033 38.20010147083932 49.90168049519447]
alive [5.214215954078628 26.06052541111604]
alive [6.211398418925161 27.240563387980536 43.925096608496645]
alive [3.276585137491692 27.991530582015457 43.05954478387139]
alive [4.820311496863485 49.239665259700466]
alive [5.991705934682773 13.28525528592648 27.508744375157082 41.427325737936464 46.316586987903506]
alive [7.044866463988911]
alive [6.141758394160347 14.259784818561059 36.34461782145935]
alive [6.267327280402171 26.145363584892134]
alive [5.4602168915922675 33.05057109731897]
