Time,S_a0_mean,S_a0_sd,E_a0_mean,E_a0_sd,I_a0_mean,I_a0_sd,R_a0_mean,R_a0_sd,S_a1_mean,S_a1_sd,E_a1_mean,E_a1_sd,I_a1_mean,I_a1_sd,R_a1_mean,R_a1_sd,S_a2_mean,S_a2_sd,E_a2_mean,E_a2_sd,I_a2_mean,I_a2_sd,R_a2_mean,R_a2_sd
0,200,0,0,0,0,0,0,0,400,0,0,0,5,0,0,0,400,0,0,0,0,0,0,0
1,197.111,1.5579172333940292,2.616,1.4875337834001474,0.263,0.49200922051631624,0.01,0.0995485304256668,394.425,2.2002763954140434,5.041,2.0261846965231043,4.882,1.0445894730309928,0.607,0.7477366582628607,394.316,2.202042913522121,5.165,2.0542626402178943,0.467,0.688029348490589,0.022,0.1467567291047928
2,194.038,2.4088084935001284,4.958,2.1341955840060187,0.925,0.9530389725941344,0.079,0.28432347746860415,388.42,3.667021549847648,9.644,3.165957562458361,5.601,1.7241727789788852,1.228,1.0368659947606977,388.376,3.570906800152501,9.586,3.1199901183078027,1.65,1.2763734285580883,0.148,0.39528755640957414
3,189.868,3.5664121039632106,7.912,2.9821383517786613,1.974,1.472240296789723,0.246,0.4936878849310845,380.075,6.000281524926841,15.532,4.872444634546063,7.232,2.4637869725782395,1.993,1.2675005158016928,380.042,5.904159135312589,15.481,4.837255217376693,3.308,1.9583081910084967,0.459,0.7048516268093703
4,183.562,5.501674692711704,12.252,4.291726332714484,3.625,2.1644999561238296,0.561,0.7258138919900926,367.6,9.602302026295789,24.093,7.413994761147213,10.002,3.4597638598560403,3.052,1.5465082242547847,367.535,9.684139484619042,24.109,7.541352066505779,5.768,2.8135550629216577,0.994,1.0700977100756308
5,174.023,8.43656604588897,18.709,6.3485922552660154,6.138,2.9775529922776895,1.127,1.054506037433159,348.424,15.41901326187801,37.205,11.400655680703192,14.443,4.9851381728696955,4.543,1.9046728797299495,348.202,15.493781115442843,37.323,11.347750545480036,9.525,4.220804448229057,1.894,1.4815393882576862
6,160.048,12.166911264973118,28.076,8.816686336598233,9.794,4.154132980637574,2.07,1.4964422271973414,319.871,23.479046501607016,56.461,16.754019702034977,21.501,7.3044749540507254,6.636,2.425982149437499,319.93,23.22400599497112,56.446,16.608037539423822,14.832,5.68049681313563,3.299,1.9968942352029029
7,140.44,16.638486687173184,40.867,11.528409049613707,15.183,5.820428539926282,3.488,2.023351168223141,280.775,32.054076789682135,81.972,21.74124876583445,31.66,10.082164948563877,9.792,3.239325428114506,280.447,31.771695447861003,81.999,21.584691285675085,22.656,7.815289037696734,5.596,2.7767777178763327
8,115.638,20.460781988956327,56.129,13.387142136190777,22.451,7.4119184787432415,5.742,2.77437076345847,231.256,39.818211335442406,112.24,25.190851096756912,45.842,13.46121243574442,14.449,4.369724647331167,230.907,39.65656306330636,112.208,25.132297315772156,32.977,10.118342347037476,9.017,3.695452254781188
9,87.126,22.39038752352119,71.925,13.24019175381073,31.849,9.105993527238976,9.037,3.600638220593065,174.536,43.76487253572285,143.397,25.022980248973955,64.094,16.450099384799163,21.228,6.078895374076525,173.944,43.29070280035829,143.799,24.67223780524009,45.702,11.86355511387459,13.784,4.969712470761467
