0 100 76 0 0 100 0 0 0 20
0.1 99 72 4 0 88 11 0 0 20
0.2 101 65 11 0 81 15 3 0 20
0.3 103 55 17 3 72 21 6 0 21
0.4 106 48 21 6 66 25 8 0 21
0.5 108 48 19 8 62 28 9 0 21
0.6 111 43 21 11 53 29 15 0 21
0.7 112 42 19 14 51 25 21 0 21
0.8 114 36 24 15 46 27 24 0 21
0.9 114 32 25 17 41 28 28 0 21
1 115 23 30 21 37 31 29 0 21
1.1 113 21 29 24 34 30 33 0 21
1.2 110 19 30 24 30 30 37 0 21
1.3 112 18 28 28 23 33 40 0 21
1.4 112 18 26 30 22 33 41 0 21
1.5 117 16 26 33 20 28 48 0 21
1.6 116 16 24 35 18 29 48 1 21
1.7 115 15 23 37 16 30 49 2 21
1.8 124 13 22 39 14 30 51 2 21
1.9 127 12 23 39 12 31 52 2 21
2 127 10 23 42 10 29 55 3 20
2.1 126 8 24 45 9 30 55 3 19
2.2 126 7 24 47 8 29 57 3 18
2.3 127 6 22 52 7 29 58 4 18
2.4 125 6 20 53 5 30 57 4 18
2.5 123 5 20 56 5 28 59 5 16
2.6 125 5 20 56 3 28 61 7 16
2.7 123 4 21 58 3 27 62 7 16
2.8 125 4 19 63 3 23 66 6 15
2.9 120 4 18 64 3 20 69 6 15
3 122 4 16 67 2 21 69 6 15
3.1 123 4 15 70 1 18 72 4 13
3.2 127 3 11 74 1 18 72 3 13
3.3 125 3 10 74 1 17 73 3 13
3.4 121 3 8 75 1 16 72 4 14
3.5 120 3 8 77 1 15 72 6 14
3.6 122 3 7 80 1 14 73 5 13
3.7 122 3 6 83 1 13 74 6 13
3.8 119 3 6 83 1 13 74 6 13
3.9 124 1 6 86 1 10 77 6 13
4 123 1 4 91 1 9 78 4 11
4.1 123 1 4 93 1 7 79 2 11
4.2 119 0 5 94 0 6 81 5 11
4.3 117 0 4 97 0 6 81 5 11
4.4 111 0 4 98 0 6 81 7 11
4.5 111 0 4 99 0 5 81 6 10
4.6 108 0 4 97 0 5 81 7 10
4.7 107 0 4 98 0 4 82 7 10
4.8 103 0 3 100 0 4 81 7 10
4.9 102 0 3 100 0 4 81 6 9
5 93 0 3 100 0 4 81 11 9
5.1 90 0 3 102 0 3 82 12 9
5.2 87 0 2 102 0 3 81 12 8
5.3 85 0 1 108 0 3 80 9 5
5.4 83 0 1 110 0 3 80 9 4
5.5 80 0 1 111 0 1 82 11 4
5.6 79 0 1 111 0 0 81 12 4
5.7 78 0 1 111 0 0 81 12 3
5.8 78 0 1 111 0 0 81 12 3
5.9 77 0 1 113 0 0 81 12 2
6 74 0 1 113 0 0 81 13 2
6.1 73 0 1 113 0 0 81 13 2
6.2 68 0 1 114 0 0 81 16 2
6.3 67 0 1 115 0 0 81 16 2
6.4 66 0 1 117 0 0 81 17 2
6.5 64 0 1 118 0 0 81 17 1
6.6 63 0 1 118 0 0 79 17 1
6.7 57 0 1 119 0 0 79 18 1
6.8 55 0 0 122 0 0 79 17 1
6.9 53 0 0 122 0 0 79 18 1
7 53 0 0 121 0 0 78 17 1
7.1 50 0 0 118 0 0 77 17 1
7.2 51 0 0 118 0 0 76 17 1
7.3 49 0 0 119 0 0 76 17 1
7.4 47 0 0 120 0 0 75 18 1
7.5 46 0 0 121 0 0 74 19 1
