dead [6.308948295760324]
dead [8.809350426609447 17.797878207476742]
dead [0.43337562376396377]
dead [3.9114095984429103 10.55040196234723 22.877569780946068]
alive [5.5681006656151055]
alive [8.859301038447878 34.06889060105775]
alive [7.678992419185451]
alive [6.633351857051206 26.626263458011614]
alive [7.120824236033734 34.548184452291174]
alive [5.779649995306255 27.820476083997978 38.71030462665005]
alive [7.157082232571867 29.114743028969535]
alive [6.557183842144728 49.26503477247318]
alive [9.832418212895998 33.52046785810591]
alive [9.18846332223324 20.270603126943307 43.1459912674212]
alive [5.595758755809995 37.58022717698543]
alive [6.864684717428654 11.307755967123986 25.060898032796654]
alive [8.437079270008043 18.115259103937326 27.02478518631855 44.59157033341536]
alive [7.324679256388281 17.16040020854937 26.960727023272593 49.51447511098307]
alive [5.690960508451779 11.857214380347715 29.457588498911942 45.70694407302841]
alive [6.864611391177819 19.963881237726223 32.56770764023319 49.73197224414548]
alive [5.587553188308942 47.65550269410302]
alive [5.48634720070989 24.41271964465696 45.501362828560346]
alive [6.862276039463712 23.86613150297293 39.33214674243407]
alive [6.181701857427779 17.899633361464343 48.02938829488009]
alive [7.375957994403532 41.70129108550394]
alive [6.509225941246414 36.516098728446806 48.82936952881463]
alive [9.036595039058039 16.716583298082444]
alive [6.345973086320417]
alive [7.567973564248676 24.67333446309894 30.62293626722008 48.533521069041306]
alive [7.95979239551219 23.589953707650707]
alive [9.487029524860468 18.448768864127295 48.88597493399067]
alive [8.034171422210793 26.79426424100237 44.66582964894842]
alive [8.833890936294619 13.643211719005203 19.666403658361258 45.213148716293546]
alive [4.876816083420242 26.278689546894622 43.143929683152244]
alive [7.574248628056636 22.745459614702142 45.263661045457155]
alive [10.994748644967073 32.9892584222934 49.88003550331103]
alive [10.031948292403012 36.83313380379382]
alive [6.523525571374551 30.77837596196157]
alive [6.011246576651359 45.14501343893308]
alive [6.598596963605735 22.096651451365265 26.9672898188675]
alive [5.639888233357207 35.74398303898341]
alive [8.751580083939876 21.266562258101796 34.70035702222361]
alive [8.389864572790364 30.978552154516105]
alive [7.486762053541826 45.87576491256353]
alive [5.330957768909479 13.167134031461853 35.58984075401591]
alive [8.943104874396784 38.996454824351005]
alive [8.962771685119158 16.69633363442758]
alive [6.606298145412642 31.23462157300828 39.202642002391805 46.9228445770394]
alive [9.280458502636437 40.60835118833917]
alive [7.0248483504748505 29.716839207220318 37.706560095714764]
alive [4.007089636661433 29.8796755072501]
alive [4.1860947394707155 17.914391477478606 29.089192082053966]
alive [9.470604913359727 33.15494582568566 48.31486105371939]
alive [9.97119550733575 16.8440161351905 24.274588919590364 29.703985344748755]
alive [7.99973041952481 35.967565176919614]
alive [10.819776772373618 22.185539283054073]
alive [9.83926539985424 17.58463371322489 31.211543503048556]
alive [1.0113638115622037 11.407052499446658]
alive [9.888873103144423 29.401873679131793 34.01727398170697 41.301944970841305 48.50995974043004]
